Komentar,Nama Pengguna,Rating,Tanggal,Nama Aplikasi
Bagus,diasken Ken,5,2024-05-01 10:25:11,Windy.com
Ok sangat mmbantu,Budiman Atui,5,2024-04-30 15:10:44,Windy.com
keren,NONO FRANDES MATONDANG,5,2024-04-29 23:47:56,Windy.com
"Terimakasi Boss, berkat windi, aktifitas saya di laut menjadi terbantu 🙏🙏🙏",Adi Putra,5,2024-04-27 09:20:17,Windy.com
mantap,Lusia Welan,5,2024-04-27 06:41:30,Windy.com
Sangat membantu,Aku Ganteng,5,2024-04-27 04:27:58,Windy.com
Sangat membantu mengetahui keadaan daerah tempat tinggal,Rajendra Veron gaming,5,2024-04-26 09:19:09,Windy.com
💗,windi wahyuni,5,2024-04-26 04:13:33,Windy.com
"Sangat membantu kami Nelayan, memprediksikan keadaan cuaca, satu jam kedepan bahkan satu minggu kedepan.. Makasih Windy God Bless You.",Tasdik Bawole,5,2024-04-26 01:21:37,Windy.com
"Bagus, membantu sekali",Elang samudera,5,2024-04-25 15:10:46,Windy.com
Oke,Agus Wiryono,5,2024-04-24 02:30:26,Windy.com
bagus lumayan akurat,Ama Tolla,2,2024-04-23 15:09:57,Windy.com
membantu,Bintang Bergas,5,2024-04-23 10:40:02,Windy.com
sangat baik dan membantu dilaut,Pakradeng Radeng,5,2024-04-22 07:57:08,Windy.com
Sangat-sangat bermanfaat,M.Nasrul Islam,5,2024-04-21 12:49:22,Windy.com
Optimalisasi 😁,Aku Kamu dan Dia,5,2024-04-21 01:48:22,Windy.com
Mantap..dan sangat membantu sekali,iputu agus fery diana,5,2024-04-20 04:06:56,Windy.com
sangat bagus cuma kadang-kadang tida tepat,Carmun 1314,5,2024-04-19 22:49:28,Windy.com
Verry Good,Jatnika Tea,5,2024-04-19 04:35:04,Windy.com
Akurat sekali untuk melihat cuaca,Yanto Sadrakh,5,2024-04-16 01:22:35,Windy.com
mantapppp... apk ringan untuk hp ram minim oke bangetttt....,Sheril Adhitya,5,2024-04-12 11:10:58,Windy.com
Saat berguna dan bermanfaat untuk melaut,Spot R Angler,5,2024-04-11 10:07:07,Windy.com
Sangat membantu pertanian kami... Terimakasih,mingi,4,2024-04-10 13:53:13,Windy.com
Bagus aplikasinya,Halidin Baubau,5,2024-04-10 12:33:21,Windy.com
Sangat membantu dan bagus,Mesya Aprilia,5,2024-04-10 11:51:40,Windy.com
windy sangat membantu bagi saya terimaksi windy,nok rumi,5,2024-04-10 11:35:11,Windy.com
Lengkapi lintang bujur nya..,Tahang,5,2024-04-10 02:00:39,Windy.com
Aplikasi yang perlu anda install...se realiti inikah di atas sana. Jadi tau pergerakan badai akan ke mana.,Libra Anggoro,5,2024-04-09 08:39:19,Windy.com
Windy aplikasi terbaik🙏,jose nelson m.sousa gama,5,2024-04-06 05:31:12,Windy.com
ok,kholisah nita,5,2024-04-05 12:50:27,Windy.com
Keren,Cyntia Oppo,5,2024-04-05 07:02:47,Windy.com
bagus dan terpecaya,Andriantho Foeh,5,2024-04-04 11:26:38,Windy.com
sangat membantu nelayan kami,Mellky Muda,5,2024-04-03 08:41:38,Windy.com
biar lebih akurat lagi,Asep Nurodin,5,2024-04-02 13:10:03,Windy.com
sangat canggih sekali,Saiful Yeni,5,2024-04-02 12:34:46,Windy.com
Alhamdulillah aplikasi WINDY sangat membantu untuk pemancing maupun spearfising.. Mantap,ARJUNA SPORT 87,5,2024-04-02 09:35:35,Windy.com
bagus sekali sangat membantu,repi andriyani,5,2024-04-01 19:22:55,Windy.com
Aplikasi terbaik untuk memprediksi cuaca,deddy firmanto,5,2024-04-01 15:59:51,Windy.com
Pantau cuaca di WINDY lebih pasti daripada BMKF 🙏,WEMFRIED,5,2024-04-01 07:24:34,Windy.com
Bagus,Darnan Iswanto,5,2024-04-01 03:47:37,Windy.com
Ok,Marwah Marwah,4,2024-03-31 21:14:54,Windy.com
Aplikasi yang sangat bagus...untuk melihat cuaca di sekitar kita,Zepri Seffendy,5,2024-03-31 20:20:23,Windy.com
Apk nya udah ganti ke premium MKanya aku kasih bintang 2 skrang bisa melihat cuaca hanya 7 hari,Fahmi Rafiq,2,2024-03-31 19:29:42,Windy.com
Sangat membantu bagi nelayan,Sipir Charles,5,2024-03-30 17:13:39,Windy.com
"Udah lama gunakan aplikasi ini, udah kurang lebih 3 tahun atau 4 tahun. Dlu akurat bisa di bilang 90%, skrg ga lagi. Di aplikasi ombak di laut teduh, tpi kenyataan nya gaa. Tlong dong di perbaiki lgi...",TOPAN KURNIAWAN,3,2024-03-30 14:55:17,Windy.com
sangat membantu,Fajar Jepara,5,2024-03-30 12:55:58,Windy.com
ok baik,Haidir Ali,5,2024-03-30 06:43:14,Windy.com
baik,Sholeh_R_Crew 026,5,2024-03-30 01:48:04,Windy.com
Bisa melihat' cuaca dan info terbaru dan akan datang,Sumar Jhono,5,2024-03-29 19:38:56,Windy.com
Sangat membantu,wahyu Setiyawan,5,2024-03-29 11:06:33,Windy.com
coba dlu dank,Dedi Komenaung,4,2024-03-29 09:28:07,Windy.com
KTP NIK BMKG Indonesia Jawa Barat Juga Tidak Bisa Jakarta Siapa Waktu waktu Jawa Tengah.!!?? Tulisan Rumah Jawa Timur Hadir dalam Posisi.? Assalamu'alaikum Tidak Aku You Sebagai pecahan Juga Allhamdulillah Ya tidak 🌪🌪🌪🌊🌊🌊🌈🌈 🌥🌥🌥⛈️⛈️⛈️🌩🌩🌩🌏🌏🌏☄️☄️🌘🌘🏘🏘 🌄🌄🏞🏞🌋🌋🌋🌀🌀🌀🌀😳😳😯😯😤😤 👍👍👍🙏🙏🙏🤣🤣😂😂😵😵😑😑Hari Astagfirullah Seorang Sebagai pecahan planetisimal diyakini bahwa,Dikit Mah,5,2024-03-28 13:36:53,Windy.com
bagus,isee you,5,2024-03-28 08:09:23,Windy.com
Kenapa ada notif anda sedan offline... dan gak bisa dipakai,MENOLAK BONCOZ,3,2024-03-26 10:36:38,Windy.com
"bagus,cuma gk da koordinatnya...mohon d sertakan koordinat nya juga",Wahyu Shanty,5,2024-03-26 04:15:35,Windy.com
Sangat bermanfaat sekali,FAN Fhising,5,2024-03-25 00:33:39,Windy.com
"Aplikasi puki, sdh berlangganan premium tapi masih aja muncul beralih ke premium,..dan gk bisa di pakai Offline , duit terpotong...",Maruli Tua,1,2024-03-23 08:48:55,Windy.com
sangat bagus,Abdul Rahman,5,2024-03-22 12:29:04,Windy.com
Sangat membantu. Tingkatkan trus untuk keselamatan pelayaran khususnya. 👍👍👍,Ahmad Fahmuddin,5,2024-03-22 12:21:42,Windy.com
Apk nya bagus dan mengapa sekarang tidak terlalu akurat dan tolong untuk sekarang akuratnya sampai 87gak papa saya kasih bintang 4,Fahri,4,2024-03-22 09:48:01,Windy.com
Oke,Supriyono Supri,2,2024-03-22 09:20:52,Windy.com
Tank playstore dan Windy telah memberi wawasan yg luas dan aktifitas ku seorang pelaut bisa lebih tenang dan waspada pokoknya berguna banget👍🙏,Agustin Dwi,5,2024-03-21 21:58:47,Windy.com
Sangat pembantu bagi kaum nelayan,Den Bagus Kisto,5,2024-03-21 14:32:14,Windy.com
alhamdulillah puas dengan apk windy,Kaimuddin Kayyum,5,2024-03-20 17:28:50,Windy.com
Sangat membantu para 👦🎣,Janari Ari,3,2024-03-20 11:39:58,Windy.com
bagus,Aril Murni,1,2024-03-19 23:20:50,Windy.com
sangat akurat,Rosidah KTB,5,2024-03-17 16:27:28,Windy.com
"Tidak mengerti cara mengunakanya,",DIMAS WONG TEGAL,5,2024-03-16 14:31:09,Windy.com
Terimakasih,Ineng Listiani,5,2024-03-16 10:00:43,Windy.com
"Sangat membantu untuk mengetahui keadaan cuaca didarat maupun dilaut, serta terperinci dengan detail dan lengkap.",Mohamad Firman,4,2024-03-16 09:33:40,Windy.com
Suka,Nurul Huda,5,2024-03-15 14:15:29,Windy.com
Ok,Sin San,5,2024-03-15 12:02:36,Windy.com
keren pokoknya.. membantu sekali,Azkan Fahmi,5,2024-03-15 11:25:28,Windy.com
Saya suka Windi ini,Winda dadi Reva,5,2024-03-14 21:50:02,Windy.com
Sangat membantu pekerjaan sebagai nelayan,Sul Pahdi,4,2024-03-14 13:01:22,Windy.com
Windi prediksinya sesuai dengan yang terjadi,Nazril Nazril,4,2024-03-14 04:53:19,Windy.com
sangat membantu,Wahyu Diningrat,5,2024-03-13 20:05:06,Windy.com
Sangat membantu pekerjaan suamii,Khusnul Khotimah,5,2024-03-13 10:09:04,Windy.com
Bagus dan sangat membantu,Nendra Tualaka,5,2024-03-13 00:15:54,Windy.com
"Makin parah nih aplikasinya, bukannya makin bagus. Ga sesuai sm kenyataannya",hendrik susanto,1,2024-03-12 01:53:39,Windy.com
Mantap dan akurat,Linzy,1,2024-03-12 00:14:05,Windy.com
sangat membantu,Linda Petarukan,5,2024-03-11 23:08:17,Windy.com
bagus,Wawang Febriyanto,5,2024-03-11 11:50:54,Windy.com
mantap sekali boss,Kasrin Muhammad,5,2024-03-11 11:08:54,Windy.com
Bagus,Hadri silaban,5,2024-03-11 07:26:24,Windy.com
"efek gratisan dan harus beralih ke premium, dibikin citra satelite yang ga akurat lagi. maaf saya uninstall aplikasi ini.",Mr Monoth,5,2024-03-11 03:04:04,Windy.com
Mantap,Sardy Bara (Acho),5,2024-03-11 01:35:33,Windy.com
bagus aplikasinya,Setiawan Rich,5,2024-03-11 01:25:07,Windy.com
"keren mantap, biasalah beda dikit namanya juga perkiraan",Paman Canunding,5,2024-03-09 11:48:07,Windy.com
hèlpfull,Harso Widodo,5,2024-03-09 10:47:59,Windy.com
sangat membantu untuk kegiatan di laut,yotam mesach,5,2024-03-08 10:02:49,Windy.com
Oke membantu di laut,bintang9 met,5,2024-03-08 09:02:48,Windy.com
pertahankan kwalitas fiturnya,agung,5,2024-03-08 08:00:33,Windy.com
muji sukur adanya aplikasi angin windi ini bisa membantu banyak orang yg ingin melaut,Satrioyusup Wibowo,5,2024-03-07 10:05:43,Windy.com
mantap sukses selalu👍,Norman Sunda,5,2024-03-07 01:09:59,Windy.com
dua dulu,Rizal Pemula,2,2024-03-06 08:45:38,Windy.com
good for check the weather,Victor Liwe,5,2024-03-05 07:31:01,Windy.com
sangat membantu,Fidelis Laia,5,2024-03-02 14:37:40,Windy.com
mantap,sheril Dray,5,2024-02-26 15:51:21,Windy.com
sangat membantu,Mars Yanto,5,2024-02-25 04:42:12,Windy.com
sangat membantu sekali,Yuli Arta,5,2024-02-24 05:24:19,Windy.com
"bagus,dan akurat👍👍",Tasya Anggita,5,2024-02-23 21:49:51,Windy.com
cukup membantu kami para nelayan,Azmi Hak,4,2024-02-23 15:48:34,Windy.com
kurang bagus,Endrik Prassetiyo,1,2024-02-23 08:25:04,Windy.com
sangat bagus,Cumi Cumi,5,2024-02-23 05:19:03,Windy.com
cukup akurattt,Bambang Agus,5,2024-02-22 09:52:05,Windy.com
"Lumayan siih,tapi kata teman,Windy versi lama lebih akurat",Sudirman Apri Apri,4,2024-02-21 04:45:14,Windy.com
Good,mustapa Mega,5,2024-02-20 13:17:30,Windy.com
sangat bagus,Agus Salim,4,2024-02-19 03:30:19,Windy.com
sangat membantu untuk menikmati hobby sebagai angler.... thanks Windy....,Rio Daeng,5,2024-02-19 01:50:38,Windy.com
kurang puas .,Vergiant aries Aries,2,2024-02-18 21:57:17,Windy.com
nice,Yulid Saudale,5,2024-02-18 02:32:40,Windy.com
"Dulu aplikasi ini buat saya sangat akurat jika dibanding aplikasi lainnya, bisa dibilang keakuratannya bisa mencapai 90% , tetapi tidak tahu mengapa sekarang tidak begitu akurat",Setiawan Hendra,3,2024-02-17 23:08:49,Windy.com
sangat membantu sekali bermanfaat sekali,GHARIUNGAN CHANNEL,5,2024-02-16 19:30:13,Windy.com
"bagus,arah angin tepat",Andriano Erlangga,4,2024-02-15 05:15:55,Windy.com
No data nya lama bgt anjg jadi gatau keadaan cuaca di sekitar aplikasi tolol,Baban Musyafa,1,2024-02-13 23:55:05,Windy.com
sangat membantu,Winanda,5,2024-02-13 19:09:02,Windy.com
nice prediksi cuaca,Ifan_ Karimun,5,2024-02-13 11:51:57,Windy.com
sangat bagut👍👍👍,Ayong 32,5,2024-02-13 11:04:18,Windy.com
mantaaap,Paejo Paejan,5,2024-02-12 09:40:42,Windy.com
bagus membantu nelayan,Sugiono,1,2024-02-12 04:45:24,Windy.com
ok,Agus Nurjaman,5,2024-02-10 00:39:27,Windy.com
"akurat, ga kayak bm** real time",Dapa,5,2024-02-09 05:58:26,Windy.com
ok bagus,Hendi hermawan Bapeng,5,2024-02-08 02:26:37,Windy.com
aplikasinya sangat membantu banget mantep,Jumita Sari,4,2024-02-07 02:25:36,Windy.com
oke,M yunus Yunus,5,2024-02-05 23:22:14,Windy.com
"apk bagus buat pelayang, untuk mencari arah angin, saran agar apk nya di updet jadi lebih bagus",Bima tod,5,2024-02-05 11:03:03,Windy.com
Sangat membantu,Lasimin Pasir,5,2024-02-04 21:43:19,Windy.com
kurang ngerti cara nya,Yat Takiyat,3,2024-02-04 03:32:26,Windy.com
bagus,Hasan A04,4,2024-02-03 22:10:41,Windy.com
"sangat membantu sekali, khususnya para nelayan",Sunanto New,4,2024-02-03 00:07:56,Windy.com
"luar biasa ini aplika, cukup membantu para nelayan",Jawa Rudin,5,2024-02-02 02:10:42,Windy.com
Saya kasih bintang 2 karna Sekang tidak lagi akurat tolong di perbaiki 🙏🏻🙏🏻🙏🏻🙏🏻,Sofia 123,2,2024-02-01 15:06:47,Windy.com
sangat membantu sekali trima kasih windy,seal emgg,5,2024-02-01 04:51:34,Windy.com
Bisa untuk melihat informasi cuaca..,Wilhelmus Kelang,5,2024-01-31 14:36:43,Windy.com
sangat baik,Iki Yusran,4,2024-01-31 10:01:36,Windy.com
Aq Bru mencoba law bagus tak pnjt,Ziniq Adiningsih,5,2024-01-31 03:49:11,Windy.com
The best apps. for seaman,Agus Siswoyo,5,2024-01-31 03:45:51,Windy.com
well,Anggun Afifah,5,2024-01-28 05:32:00,Windy.com
mantap,Ozil Oba,5,2024-01-27 03:01:36,Windy.com
lumayan bagus,fajar Saputra,4,2024-01-26 13:54:37,Windy.com
Good,dudi firmansyah,5,2024-01-25 11:06:33,Windy.com
jos,Vivo Y36,5,2024-01-25 03:55:32,Windy.com
mantap,Herry Gia,5,2024-01-24 23:04:07,Windy.com
Bagus sih game ini dan tolong untuk topup nya jangan sering ngelag,Tiktok Wahidzzz,5,2024-01-23 13:56:14,Windy.com
"Semoga aplikasinya diperbaiki agar radar cuacanya akurat, soalnya setiap saya cek selalu tidak akurat, bahkan tidak pernah akurat. Saya rencana riding 100km+, pantauan di aplikasi jam sekian tidak hujan, yaudah saya pergi, eh disana badai. Dan sebaliknya, saat pantauan di aplikasi badai, saya video call dengan teman saya yang berada di lokasi malah cerah tanpa awan. Barusan saya cek radar di tempat saya hujan badai, nyatanya ini lagi panas suhunya aja tembus 37°C.",Rahmad Ardiansyah- 22-0280,1,2024-01-23 06:52:02,Windy.com
ramalan nya sering meleset,Zeva Aditya76,1,2024-01-22 02:00:08,Windy.com
keren,Axella Salindeho,5,2024-01-21 03:11:56,Windy.com
bagus ini aplikasi.,Ragiel Joko Prasetyo,5,2024-01-21 01:15:15,Windy.com
terima kasih banyak,mas moyo,5,2024-01-19 21:08:49,Windy.com
bagus sekali,Sholeh Rohita,5,2024-01-19 11:55:13,Windy.com
Keren,Sisnadi Chan11,5,2024-01-19 08:23:26,Windy.com
semoga bermanfaat buat semua,Long Daniel,5,2024-01-19 00:40:13,Windy.com
sangat bagus,Asrulah Balut,5,2024-01-18 16:26:44,Windy.com
𝐉𝐞𝐦𝐩𝐨𝐨𝐨𝐥,Kanggiy 972,5,2024-01-18 03:34:07,Windy.com
"Melihat punya teman yang baru update dan komentar para user yg udah update pada negatif, saya jadinya gak pengen update, walaupun di versi lama ada keterangan akan segera di hentikan, biarlah..,.. gak akan aku update sampai benar² di hentikan. 😁",Tiga Rambu fishing,5,2024-01-17 02:08:55,Windy.com
memuaskan,Bang mul mul Mul mul,5,2024-01-16 22:38:10,Windy.com
Baru coba saya kasih bintang empat dulu,Lilis Sugianto,4,2024-01-16 13:37:51,Windy.com
Sudah TDK akurat lg bujur lintang nya ga bs muncul buat prediksi dekat jauh nya susah,Hidayah Pml,1,2024-01-16 00:41:12,Windy.com
sngat bagus,raja robi yanto,5,2024-01-14 11:26:08,Windy.com
Cukup membantu,Khairudin Khairudin,5,2024-01-13 16:08:25,Windy.com
sangat membantu,QiQih Gaming,4,2024-01-13 11:33:52,Windy.com
tepat akurat pengunaan mudah di pahami semoga selalu jadi yang terbaik,Fxmcadi Adi,5,2024-01-13 11:02:00,Windy.com
Sangat membantu... sementara saya ok 4 * dulu,Indra Gunawan,4,2024-01-13 01:44:14,Windy.com
sangat membantu. mantap,Thomas aquino Wea,5,2024-01-11 05:33:11,Windy.com
"bagus sekali,,",Wongso Samudro,5,2024-01-10 14:57:04,Windy.com
bagus mantap,Mattalibe Okericky,5,2024-01-09 08:50:22,Windy.com
mantap bangat,Arifin Adi,5,2024-01-08 06:36:22,Windy.com
Bintang 5ok,Faeyza,4,2024-01-08 02:31:31,Windy.com
sangat baik,AMRI AMRI,5,2024-01-07 01:14:39,Windy.com
Sangat membantu,Theo Mastheo,5,2024-01-06 02:34:35,Windy.com
apk sangat membantu terutama buat para nelayan,Rosyni Rahma,5,2024-01-05 16:53:09,Windy.com
good app,alde prayogi,5,2024-01-05 12:09:57,Windy.com
Bagus untuk melihat angin pergi main layang layang,Giman Ajah,5,2024-01-04 10:38:35,Windy.com
bagus akurat sangat membantu,Aryadi Jaya,5,2024-01-04 09:04:51,Windy.com
lumayan sedikit membantu,Kayan,5,2024-01-04 06:57:13,Windy.com
Saya sangat suka mencari informasi terbaru tentang cuaca saat ini yg sangat panas,Rafly_ Risqullah,5,2024-01-03 05:36:40,Windy.com
mantap,Tika Yuni,5,2024-01-03 02:42:26,Windy.com
sangat membantu kami para nelayan,Juneri,5,2024-01-02 08:28:22,Windy.com
"Sdh lama saya pakai aplikasi ini.. setelah update besar, sekarang aplikasinya tidak akurat.. pada grafik cuaca menunjukkan akan turun hujan lebat, tetapi ternyata tidak, cuaca masih cerah hanya berawan.. Radar cuaca pun kadang meleset, terlihat di radar hujan, padahal tidak.. Jujur kecewa, lebih bagus Windy versi dulu drpd yg terbaru ini, semakin buruk kualitasnya... keakuratannya sangat menurun...",Harry Suwanto,1,2024-01-02 04:58:06,Windy.com
Makin kesini makin kesana PHP (pelayaran Taiwan),Efan,2,2024-01-01 03:07:26,Windy.com
bagus sangat membantu,Hafis Titoo,5,2023-12-30 16:54:10,Windy.com
"Windy yang sekarang bikin pusing, bagusan yang dulu",Habibullah Habib,1,2023-12-29 11:08:13,Windy.com
Good,just Manokad,5,2023-12-29 06:23:15,Windy.com
sangat membantu info updatenya,muhammad syukri ym,5,2023-12-28 14:04:24,Windy.com
Sagat mebantu untuk nelayan,Lisna Wati,5,2023-12-28 11:27:27,Windy.com
Siiip,Hermanto Mas Herman,5,2023-12-27 17:09:41,Windy.com
𝑈𝑑𝑎ℎ 𝑑𝑖𝑏𝑒𝑙𝑖 𝑚𝑎𝑙𝑎ℎ 𝑘𝑒𝑘 𝑎𝑠𝑢..,Capt adhie,1,2023-12-26 13:10:06,Windy.com
lumayan bagus aflikasi ini bisa membantu untuk melihat cuaca sebelum pergi memancing sementara saya kasi 4 bintang aj dulu,Saidi Amri,4,2023-12-25 23:44:02,Windy.com
Akurat,surya dharma,5,2023-12-23 22:41:13,Windy.com
0uas sangat akurat,Dancaw,5,2023-12-18 23:53:50,Windy.com
lumayan lah cukuplah membantu...,Kuat Sambodo,3,2023-12-18 14:06:42,Windy.com
mantap,lilis dwijayanti,5,2023-12-17 19:23:03,Windy.com
semoga lebih baik,Mmh Dylan,2,2023-12-17 02:53:04,Windy.com
sangat membantu sekali,jon junaedy,5,2023-12-15 22:33:17,Windy.com
sangat membantu,M kandai Khan,5,2023-12-13 11:19:02,Windy.com
Coba aj dulu,Nasshir dlv sejoli,5,2023-12-13 07:09:49,Windy.com
akurat,Muaznam ITA,5,2023-12-11 08:13:21,Windy.com
sangat baik,ahmad pardeke,5,2023-12-10 12:51:25,Windy.com
luar biasa,FATHURRAHMAN KOTA BIMA,5,2023-12-10 11:54:04,Windy.com
bagusss modah di mngerti,tofa Hom,5,2023-12-10 03:11:20,Windy.com
sangat membantu,Hariyadi Alfarizi,5,2023-12-08 08:12:53,Windy.com
bagus,Mahendra Ae,5,2023-12-08 04:48:18,Windy.com
sangat bagus. buat yg suka mancing di laut.,Aditya Sarjono,5,2023-12-07 15:55:16,Windy.com
iya,김흥수,3,2023-12-06 09:16:48,Windy.com
bagus ...akurat 👍,Sapto Nugroho,5,2023-12-05 04:24:46,Windy.com
bagus,Azwan Rahmania,5,2023-12-03 07:24:52,Windy.com
"Kurang akurat,, di tempat sya hujan tpi di apl gk hujan, dan sebaliknya",Hari Susanto,4,2023-12-02 12:11:10,Windy.com
"Sy suka dgn apl windy ini,bisa membantu melihat cuaca utk bbrp hari kedepan",Masniah Niah,5,2023-12-02 12:00:00,Windy.com
ok,Andri Sulistyo,4,2023-12-01 22:32:55,Windy.com
Harus premium kataku,Fahmi Alamsyah S,3,2023-11-29 03:54:11,Windy.com
Sangat membantu.,MS family,5,2023-11-28 02:16:23,Windy.com
"Sangat membantu sebagai referensi cuaca di laut yang akan kita lewati, mantap.",Eko Suryo C,5,2023-11-27 07:07:43,Windy.com
bagus sangat membantu saya sebagai nelayan,Andi Warsito,4,2023-11-23 00:37:32,Windy.com
Semoga bermanpaat,Ananx Mahjun,4,2023-11-21 04:11:53,Windy.com
Hujan sangat akurat,Syamsul huda,5,2023-11-19 14:26:27,Windy.com
keren,Juwita Sihura,5,2023-11-17 15:40:01,Windy.com
mantap,Realme Mtcell,5,2023-11-16 05:06:22,Windy.com
sangat membantu Terima kasih,egaputry gebang,5,2023-11-14 02:11:45,Windy.com
bermanfaat,Nuriel Hadi,5,2023-11-12 23:51:03,Windy.com
"Oi developer, gw bayar 465rb setahun uang ke ambil langganan tidak ada, haduh apk sebesar ini nipu.",Satryo Frigiawan,1,2023-11-09 23:09:33,Windy.com
sangat membantu,Muhaimin Brama_Kumbara,5,2023-11-09 14:46:32,Windy.com
sagat membantu...,Dedi Magnum,5,2023-11-08 04:07:30,Windy.com
sangat membantu,Edy Gunawan,5,2023-11-07 11:37:49,Windy.com
ga akurat 99% mLeset,BMW S100rr,1,2023-11-04 06:48:38,Windy.com
jos,Edi Seren,5,2023-11-02 23:21:04,Windy.com
mantap akurat cukup membantu untuk berlayar ke laut memancing ikan👍👍👍👍,rahmat mat,5,2023-10-29 03:38:11,Windy.com
oke banget.siiiip,Afoy bae,5,2023-10-28 08:29:21,Windy.com
I installed and using this application because the radar is accurate.,Jhon Sar,5,2023-10-27 06:07:45,Windy.com
ok,Musbir Musbir,5,2023-10-25 23:57:21,Windy.com
sangat bagus,AժíӀ Oղ SԵɑɾ,5,2023-10-22 23:45:44,Windy.com
Aplikasi perkiraan cuaca yang sangat bangus.,Saudagar Hobi Mancing,5,2023-10-22 09:56:29,Windy.com
Bintang 4 dulu nanti pas beres di download ku kasih bintang 5,Ferry Kambara,4,2023-10-21 10:41:16,Windy.com
bagus,Muhamad Septian,5,2023-10-21 06:41:29,Windy.com
Lengkap,Nur Habib,5,2023-10-20 08:51:46,Windy.com
good,Lukman Mohamad,5,2023-10-19 02:19:21,Windy.com
Ok bg q ⭐⭐,Lanurul Ul,5,2023-10-17 23:33:41,Windy.com
ok,Saipullah Ipul,5,2023-10-17 13:24:56,Windy.com
sangat membantu,Rovi Avriadi,5,2023-10-17 10:41:03,Windy.com
bagus..,Dodik Kurniawan,5,2023-10-17 10:13:02,Windy.com
oke,m ikrom romadhon,5,2023-10-16 09:51:49,Windy.com
Windi mantap,Hariyadi Q,5,2023-10-16 07:39:50,Windy.com
Ga akurat lokasinya,Andi Ansyah,3,2023-10-16 01:36:42,Windy.com
sungguh sangat baik,Ita Lestari,5,2023-10-15 09:28:15,Windy.com
Aplikasi ini sangat membantu saya . Di versi terbaru ini malah tidak akurat😭,Bakri Bayu,5,2023-10-14 03:46:26,Windy.com
arus air lautnya kurang akurat,Rully Rully raden,5,2023-10-12 12:06:11,Windy.com
bagus,LINGGA FAULINA,5,2023-10-11 11:08:07,Windy.com
sangat membantu,Mboh gk rty 1999,5,2023-10-09 11:42:00,Windy.com
mantap bosqu,Dedy Sulaiman,5,2023-10-07 16:02:04,Windy.com
Sangat membantu sekali apl nya,Kamaruddin Udin,4,2023-10-05 22:11:11,Windy.com
uda gk akurat prediksinya.... versi lama masih mendingan prediksi cuaca lautnya,wahyu icam,5,2023-10-05 06:49:39,Windy.com
bagus,angga anggoro,4,2023-10-03 09:21:49,Windy.com
Windy amplikasi mantap...,Mat narwynpugia Mat narwyn,5,2023-10-02 08:41:58,Windy.com
good aplication for marine,Haris brutus,5,2023-10-01 22:45:19,Windy.com
😊,Aksa_ Aksa_77,5,2023-10-01 18:10:51,Windy.com
😊,Gbgb Gbgb,4,2023-10-01 17:47:16,Windy.com
Sahabat kecil,SY BAYU AL-QADRIE1989 AL-QOAHARIAT (AL-FATTA),5,2023-10-01 15:41:30,Windy.com
👍👍,Triezz,3,2023-09-30 23:59:10,Windy.com
nelayang,Rul Sahrul,5,2023-09-30 21:43:25,Windy.com
sangat membantu,Stanislaus Pandengkalu,5,2023-09-29 20:55:03,Windy.com
sangat membantu,bung ican,5,2023-09-27 01:09:18,Windy.com
windy disukai seluruh dunia,Saidan Saidan,1,2023-09-26 19:02:36,Windy.com
"bagus, sangat membantu prakiraan cuaca nya, sangat akurat prediksi nya",Perta Mifta,5,2023-09-26 13:11:19,Windy.com
mantap markotop,zulkarnain “izul” ari,5,2023-09-26 12:40:52,Windy.com
Lumayan Bagus,Ternate Majang,3,2023-09-24 12:28:35,Windy.com
Bagus sekali,Reza Satriadi,5,2023-09-24 10:31:44,Windy.com
Sangat bagus,Nur Hasan,5,2023-09-24 02:09:10,Windy.com
𝚊𝚙𝚕𝚒𝚔𝚊𝚜𝚒 𝚖𝚊𝚗𝚝𝚊𝚙,Nopniol Sandiang,5,2023-09-24 01:12:02,Windy.com
nice,Mancing happy,5,2023-09-22 17:48:42,Windy.com
Kok malah jd lebih ribet dan aneh ya? Justru lebih nyaman dengan yg sebelumnya.,ras pramadi,2,2023-09-22 05:52:58,Windy.com
kasi 2 dulu ya kalau bagus baru tambah lagi,Madi Mulyadi,2,2023-09-20 23:55:02,Windy.com
baik,Ahmad Jumali,5,2023-09-20 15:13:41,Windy.com
ok,Muhamad Mola,5,2023-09-16 06:10:31,Windy.com
sangat membantu pada pekerjaan saya,Surabaya Operation,5,2023-09-14 20:18:12,Windy.com
"Aplikasiny bagus,cma sekarang knapa gx cocok lagi y...kta ny angin gx kncang ehh pas udh di tengah laut anginy kencang banget...tlong min di akurat kn lg padahal sangat terbantu bagi kmi nelayan kecil 🙏mhon tuk arus ny di update lagi kyk kmren min tanks🙏🙏 Aplikasiny tambah ribet skrng...bhkn sring gx cocok lg antara angin sma gelombngny...enk yg sblmny,skrng byk pengguna pd kecewa min trimakasih",Olivdoank@gmail.com Doank,3,2023-09-13 07:53:01,Windy.com
Bagus,Sujono Sar,5,2023-09-08 22:51:16,Windy.com
lumayan. membantu saya saat berlayar di tengah laut,Usup Kharisma,5,2023-09-08 13:51:19,Windy.com
"Bukanya Makin canggih malah makin repot,balikin aja seperti versi lama,lama lama orang pada unistal kalo repot gini,gw sebagai pengguna berharap kalo windy apk yg sangat akurat,tolong diperbaiki masalh versj baru ini,dikembalikan aj versi lama,soalnya lebih akurat",Ariandi Yt,2,2023-09-07 12:51:58,Windy.com
